,786_0,A498,A549,ACHN,BT_549,CAKI_1,CCRF_CEM,COLO205,DU_145,EKVX,HCC_2998,HCT_116,HCT_15,HL_60,HOP_62,HOP_92,HS578T,HT29,IGROV1,KM12,K_562,LOXIMVI,M14,MALME_3M,MCF7,MDA_MB_231,MDA_MB_435,MDA_N,MOLT_4,NCI_ADR_RES,NCI_H226,NCI_H23,NCI_H322M,NCI_H460,NCI_H522,OVCAR_3,OVCAR_4,OVCAR_5,OVCAR_8,PC_3,RPMI_8226,RXF_393,SF_268,SF_295,SF_539,SK_MEL_2,SK_MEL_28,SK_MEL_5,SK_OV_3,SN12C,SNB_19,SNB_75,SR,SW_620,T47D,TK_10,U251,UACC_257,UACC_62,UO_31
KM12,0.25865865037063873,0.27104991888372976,0.42545665120823317,0.2979974254779182,0.20023120776159498,0.3071932034050051,0.20828014153965868,0.6123942576452651,0.38200056291118,0.32915607173960404,0.5807535118391443,0.4945491694118257,0.5272639088180764,0.29925980750048453,0.29110190263389923,0.2784250042996105,0.14238951166110447,0.5648582913256044,0.4144279505150027,0.9999999999999999,0.32256856465061656,0.28373384396727286,0.15930137191838822,0.15560722646404546,0.4284550236669099,0.2437937834069992,0.2312721412002008,0.257573248913625,0.21128620028150735,0.25826369941265204,0.2622036706407427,0.3118225204702294,0.44453602603042663,0.31663554766065816,0.21853918924127347,0.3914349774898521,0.3727824048491051,0.3693767903639229,0.29011454061506314,0.37447792216802933,0.2875309316181539,0.16721815376012028,0.28366618988976344,0.24964314159320034,0.15477334599847736,0.18425431489577804,0.18049619007026907,0.18546790223778498,0.3579400929997386,0.2875916094513832,0.17236219972720945,0.14551203673712487,0.3131057292514686,0.2722102459148329,0.3856502285010157,0.32809861679021346,0.2375737039290733,0.2082528497203351,0.2186714186229255,0.2495590598649966
K_562,0.23203435078964674,0.24466356544709522,0.35141432928211835,0.24850214648669022,0.1744781698449578,0.28198118136489003,0.3560140466048284,0.2916013593682927,0.3336052474972925,0.26820643786237985,0.3019304996756299,0.3736383937460672,0.3424584257430704,0.43685892428341877,0.25527680074148706,0.260038554855227,0.1563410883327454,0.2903385402673808,0.40958439359950927,0.32256856465061656,0.9999999999999999,0.34148469772594814,0.17550774382357837,0.1802545263050802,0.3696797438221504,0.209194055476859,0.274680299233345,0.28262045504740985,0.33523995065871515,0.27320022176662495,0.20706274613283704,0.3411263586306018,0.2552194715452437,0.3108631275794328,0.26100200443918986,0.33186815213820087,0.2988144404694132,0.21991232319218212,0.32840920516549443,0.22824811179803062,0.34892769580785554,0.16658363020767109,0.3116246107724392,0.2582393937799671,0.18089176587998768,0.24180669917834774,0.224392259404397,0.23202306148482432,0.28834935188169775,0.3464763395940613,0.12912308434019726,0.1551557217757934,0.4271498907810025,0.19377121973853917,0.2673072584730304,0.2686479243719406,0.24115938195478515,0.28608073788369726,0.28225269594375335,0.1992817566323699
LOXIMVI,0.42399460349908247,0.39231509198771664,0.3892210167081871,0.42172834055526887,0.3918916844523129,0.4837116077429122,0.22792352958618367,0.22730457617190225,0.40240926260282406,0.35550583592771656,0.25798320951292864,0.3860625862415129,0.29426233139514135,0.28929813924630177,0.4594853125942171,0.4717580977254795,0.4004092396775628,0.28541912058081487,0.36297058829266926,0.28373384396727286,0.34148469772594814,0.9999999999999999,0.29302111813503573,0.29549691747839146,0.24888730367683165,0.3282591624943869,0.40052162670724456,0.3935249960941416,0.22693375989670284,0.40699225976639,0.48192354406507976,0.425930230825988,0.2959499803650546,0.3359798350504398,0.2689497531892956,0.3206503820972546,0.3032396910820844,0.32924288874936813,0.46022610015429344,0.4323684787140645,0.22920795568428476,0.4053242370398119,0.4789597132355313,0.48455050754278106,0.433833165448793,0.3639398399523447,0.33359450505676824,0.2767536103946088,0.3769977248451156,0.5449799497335692,0.2749514628123447,0.34372417393205235,0.2884903197120914,0.16362406002215446,0.203270527481484,0.4269966231344676,0.41186482948599046,0.3247831369649268,0.41337491336208465,0.42066313309075143
M14,0.23581848132725658,0.2122438751749346,0.21080465377327073,0.25265587990498695,0.25646306089208715,0.2575023596578907,0.1242267046486275,0.1550450225108645,0.22240415669195546,0.1968891041475448,0.16288051576979257,0.22860242038927525,0.21970918090123892,0.15937341862808108,0.2558562906020182,0.26577719594641225,0.22109716104866672,0.1625248606330686,0.19082475023757894,0.15930137191838822,0.17550774382357837,0.29302111813503573,0.9999999999999999,0.4846187132319255,0.19687563404597308,0.07081369982241353,0.6125054463565488,0.5608776796112859,0.14803314244486865,0.19384004498207164,0.19662658043453407,0.28410332718676223,0.1431683410296657,0.2273035791324033,0.2104918045195584,0.16821773127193118,0.18634673430077697,0.20690071013939915,0.2470257987893737,0.20179766286147027,0.1737406056274282,0.20591653610117422,0.23380284864796108,0.33058144890301544,0.24090928130538758,0.4822811127730099,0.595532004228456,0.47949887377142164,0.1789836725549625,0.2442905373256351,0.24224667562154845,0.31352491056573784,0.19036746254029935,0.0,0.13439036621219314,0.2262281561054057,0.2659312736633257,0.44779869675856976,0.5198556363771111,0.19599224745226929
MALME_3M,0.21812672352480755,0.20452120711530875,0.20771179716555466,0.24952330752163854,0.22843261481940846,0.2758719375295282,0.12217130327321957,0.12209659038383858,0.22652778009832286,0.23310998660730786,0.1749408032651748,0.2206615603441775,0.21366311570201146,0.14123683766838935,0.2967698193473416,0.3493303885061604,0.23481108591342115,0.12864484848921476,0.2307234592434264,0.15560722646404546,0.1802545263050802,0.29549691747839146,0.4846187132319255,0.9999999999999999,0.1699380746883591,0.1290482004811344,0.5406671528030319,0.48167815934148217,0.08550697605825253,0.21428875551453297,0.19908186419947238,0.30385506655542327,0.1484548299256434,0.2128996612571029,0.19426765809152258,0.18713764429265178,0.2019176185418663,0.19776739114116848,0.23902991652265815,0.2453968604357788,0.14697760421788952,0.2567692218751271,0.2075695150036012,0.29774083947074126,0.2709352009158752,0.5521318426326235,0.6829921455549163,0.452940689933106,0.20424162354630426,0.25063792684835595,0.2585697880270216,0.3360303692412251,0.1551455230908848,0.0450813712315678,0.16642983509003761,0.2468233463021826,0.27308604655057944,0.5916020034080416,0.5765547258799124,0.24709505243241492
MCF7,0.24284454995833138,0.2651316911800886,0.4062812603060203,0.2947397168885978,0.1944366242728326,0.2901216071320093,0.21280552903118422,0.3986001450701201,0.38747670696240644,0.32926643924968124,0.4273849099055208,0.4425939220354568,0.5253580826497583,0.30800460940469565,0.25513123657350223,0.23206267779375123,0.1654819796511351,0.39932224437151675,0.3854130308571997,0.4284550236669099,0.3696797438221504,0.24888730367683165,0.19687563404597308,0.1699380746883591,0.9999999999999999,0.14711700088037938,0.24609495750044175,0.2485550336454616,0.24224464776085963,0.25333006246970735,0.21789533001782757,0.39944504722009744,0.39525093015279933,0.34424868942262854,0.30227061467123484,0.42624811610004665,0.3865453081094613,0.30256064318693476,0.3255109285136699,0.2699416556606752,0.2880467892654025,0.15084479904447534,0.29310038313895537,0.24803084002772136,0.17303609295447409,0.1952907336743943,0.2023963562520652,0.25271993154087946,0.2887014920050939,0.29652420860882533,0.16916127841559891,0.17364331215998374,0.3428121140268209,0.13868792666400265,0.5808064830057653,0.30707907081853647,0.23258637321403886,0.2322467301889194,0.22998051928858765,0.21739015503085812
MDA_MB_231,0.24417486066629013,0.2187689507279017,0.26591263611195026,0.3015149272200256,0.158163360217485,0.3022653682718298,0.18872814930112825,0.15026773496045365,0.21311027987939624,0.215846611275736,0.13052765400514,0.34176156888448894,0.1675962237556745,0.3038552190604371,0.3032662423935033,0.3255565750233881,0.18645617571822393,0.1808608508778884,0.27386817747777736,0.2437937834069992,0.209194055476859,0.3282591624943869,0.07081369982241353,0.1290482004811344,0.14711700088037938,0.9999999999999999,0.15628894598318877,0.18812520598601234,0.1742559519628829,0.2947562808506825,0.4459560656693671,0.20303563987433626,0.20860317148828778,0.15765507107764698,0.1815136768908956,0.2212324810707128,0.22537255985955673,0.34245287423028103,0.23578951784373636,0.2748746492235161,0.16337715323123236,0.2563409597889501,0.3214450395338474,0.2770257188207925,0.20369142331053547,0.1301652346769122,0.11486605918092307,0.06631293586449916,0.31228475941763134,0.35438993862480805,0.13066631615912583,0.16278828463078876,0.15862975113576716,0.5535197294368694,0.18013745457855435,0.28513640001481033,0.26324695160823297,0.13362771794436157,0.16375843041492932,0.3012689903250656
MDA_MB_435,0.30200341556271293,0.2672168459411516,0.27624282927011157,0.2877112487682265,0.2888566097995632,0.33454388479772645,0.18071289250179268,0.1819741267168139,0.28439823766928274,0.29621059434276764,0.23062545262010092,0.28424907650251763,0.2924833097282318,0.20520443510042274,0.34128299428275866,0.36151707534114863,0.29295505456382287,0.19709632804990096,0.29015837035326697,0.2312721412002008,0.274680299233345,0.40052162670724456,0.6125054463565488,0.5406671528030319,0.24609495750044175,0.15628894598318877,0.9999999999999999,0.8119925862742746,0.1568165502224591,0.2751887675590895,0.22574836549061605,0.3725340246911105,0.2103782619276554,0.2815631737667066,0.25536199430058626,0.2482162472946704,0.2642627563743085,0.2332690841443935,0.32908330048367584,0.30139121572447014,0.2257089114471601,0.28632076828418207,0.30512261850654276,0.4034790517368373,0.33034202115934086,0.6057424349203422,0.6268501476395177,0.49851088839610824,0.26340939399494134,0.340694031791002,0.30197723068577376,0.3774747156493957,0.25425375347524615,0.07187849328007073,0.2065615698602844,0.3165419369498783,0.35777690040403687,0.5477338379299383,0.6438683206727119,0.29123858174115513
MDA_N,0.2698513115245551,0.28089943704952136,0.3014199976493067,0.2993000593504834,0.3444899500524887,0.3336373825125617,0.17150980387842285,0.2139105514224764,0.2963678223430889,0.28760822241282613,0.22457031976215425,0.2946594965211281,0.2527145172368047,0.2521924052749748,0.28752095220651175,0.33686690587539725,0.31199633627817736,0.22016611782992312,0.2718852396075596,0.257573248913625,0.28262045504740985,0.3935249960941416,0.5608776796112859,0.48167815934148217,0.2485550336454616,0.18812520598601234,0.8119925862742746,0.9999999999999999,0.1683409817647441,0.268171211104279,0.27476628938527936,0.3312120600623222,0.2096426902370272,0.31781333290836933,0.24658904741962762,0.2476605830147408,0.2552241350005058,0.2756442997897116,0.2968676278548078,0.2840597737659012,0.31194294546099577,0.25320286904058964,0.3079201690471822,0.3955328628299073,0.2861825429645247,0.5273396702198568,0.5626475347029082,0.4878725876607193,0.2620142815954437,0.33441464352330097,0.3598876832085849,0.35976373241863124,0.28028093852387514,0.11573056274469395,0.22528353920248345,0.300813644203059,0.31797679608587837,0.5049152565816175,0.5949359902881175,0.265758901988694
MOLT_4,0.16462365601566076,0.13971509011656225,0.2410172525411689,0.1795101510493866,0.09585665050790815,0.1743780166749509,0.673683607434694,0.2252182972580512,0.1758732846736073,0.09662293810455275,0.133154071683817,0.23253273581455292,0.18656795907590007,0.4691070828725227,0.11409450318976844,0.10769512335451337,0.07282960962736162,0.19887949885242817,0.22205798656794018,0.21128620028150735,0.33523995065871515,0.22693375989670284,0.14803314244486865,0.08550697605825253,0.24224464776085963,0.1742559519628829,0.1568165502224591,0.1683409817647441,0.9999999999999999,0.16358781626365793,0.17602154014215032,0.17411780078262296,0.11899153998243805,0.21256525769682566,0.22703967509554945,0.1926469256460378,0.16771365783373537,0.16731451871437342,0.18637350249231777,0.08845360187541434,0.28503534771390393,0.06216808492624254,0.27768533477706325,0.18888392093237438,0.08305260761822314,0.10257657569320933,0.1232861293017743,0.13430821047637176,0.1549049975039194,0.2196710807160015,0.0703752831375144,0.1119606195115267,0.3769959654416146,0.17469915636754196,0.1584219048221036,0.14409941948043237,0.16139297830046717,0.1847415083887416,0.13350018928676943,0.09428223886015819
NCI_ADR_RES,0.3377616079973126,0.2898443722327466,0.3447690699549394,0.45671742560770257,0.34532535791910146,0.46474973590217217,0.2614963162137207,0.17162083073031686,0.4208512152131657,0.3848574657667543,0.27598034420582096,0.39566617007868266,0.32538237189794084,0.24295290967863525,0.4547348692354499,0.4372410199471394,0.30742572456534045,0.2701175478430836,0.3577824890117667,0.25826369941265204,0.27320022176662495,0.40699225976639,0.19384004498207164,0.21428875551453297,0.25333006246970735,0.2947562808506825,0.2751887675590895,0.268171211104279,0.16358781626365793,0.9999999999999999,0.43199362828665044,0.43815643808551863,0.3011185710326153,0.3079724501758392,0.3486397079084882,0.35993175406912725,0.38233911662525844,0.3709628298927804,0.7600811558989001,0.373651927292207,0.2265043902834305,0.36486093693393395,0.3392224929965779,0.38755009664845474,0.36109724416301603,0.24479718553273622,0.2082648141949759,0.18574846154184654,0.38082199816037643,0.5360642460951212,0.24083611139080208,0.28332864384824696,0.2081319181018252,0.16159938126320017,0.2757076922980456,0.44208639379694714,0.3433738465504025,0.2271473475173318,0.27509528942643113,0.4288305568052694
NCI_H226,0.37958365658533466,0.4424431558540841,0.40561060824216,0.4880351055939699,0.42036505077614617,0.47843647644264364,0.16348696911316007,0.19511449265583858,0.378484148745046,0.35379344127369194,0.2319759837299199,0.35997869493686874,0.24706113403170327,0.2648710712021429,0.42966447575651834,0.3976477305325151,0.4138152377900959,0.28538154128634796,0.3342209298459927,0.2622036706407427,0.20706274613283704,0.48192354406507976,0.19662658043453407,0.19908186419947238,0.21789533001782757,0.4459560656693671,0.22574836549061605,0.27476628938527936,0.17602154014215032,0.43199362828665044,0.9999999999999999,0.32770656535411,0.29728172788361507,0.3377005855110399,0.2549101903193549,0.3218843204555597,0.3557881242943949,0.39493202982213405,0.41950410339213196,0.38364706202920573,0.20147246423483178,0.4168282746891314,0.4494758391526398,0.4590660768370658,0.40734261907827585,0.20666987605363207,0.19877973438349883,0.1743386307518423,0.3951770772480283,0.48142198927646007,0.29537190286942183,0.35315802555787823,0.20969594279789727,0.21206816325105282,0.23533511204791002,0.4278160372839611,0.4174862152378306,0.19709805138072956,0.2644609029540872,0.4523167555169846
NCI_H23,0.38582264507469055,0.3578185280799502,0.46416308740790413,0.3969941607881804,0.3962718334593116,0.4686561136967621,0.20892163278918974,0.24929295627130155,0.519695727766485,0.5423609223470994,0.3567524723765878,0.4311789444834345,0.4499748542348688,0.2395173097868254,0.4935668537124106,0.45526541202051773,0.3153046103067525,0.29861148187103637,0.43221106467362247,0.3118225204702294,0.3411263586306018,0.425930230825988,0.28410332718676223,0.30385506655542327,0.39944504722009744,0.20303563987433626,0.3725340246911105,0.3312120600623222,0.17411780078262296,0.43815643808551863,0.32770656535411,0.9999999999999999,0.39418827832284775,0.3874915045696533,0.41248806993793985,0.4237467127057014,0.4055292626768755,0.34177053630394116,0.4939630970623392,0.41598234360239505,0.2401797671749275,0.3763973913746128,0.35428649800864276,0.43635374757366263,0.38221478782725293,0.3362035980643484,0.31521132672690033,0.3192470686058013,0.39661617146276085,0.48822049243265,0.3052424735024871,0.3421435758287732,0.2870780790539368,0.0969221919049455,0.34546998736622003,0.4477642665149998,0.3901666357484459,0.28544407798384064,0.3689605029444216,0.41407741204514703
NCI_H322M,0.29331950068068724,0.3015810010734191,0.4418219317455795,0.32009042480302696,0.20709117157076806,0.3637556063955374,0.12178804288627265,0.38347979253095854,0.4669286047179184,0.4231220208751596,0.47962118410857024,0.42422131875037483,0.5075948124414487,0.19062692144097293,0.36994288174063217,0.3284293000644305,0.1637195886945656,0.4551731521752863,0.39540326665544057,0.44453602603042663,0.2552194715452437,0.2959499803650546,0.1431683410296657,0.1484548299256434,0.39525093015279933,0.20860317148828778,0.2103782619276554,0.2096426902370272,0.11899153998243805,0.3011185710326153,0.29728172788361507,0.39418827832284775,0.9999999999999999,0.32623530390425237,0.2409315218533864,0.449467639000527,0.4460025909381531,0.3510909470712885,0.33887223659097376,0.3735432244304129,0.19313859972008984,0.22546370627501267,0.2600318081518157,0.2770490179200237,0.20756633390459156,0.19818375438989688,0.1707754168246779,0.16814108726778842,0.4225350112683538,0.3366107948088781,0.22126727429531978,0.17110615649179572,0.2212130889138939,0.1505240727856748,0.4093326235323137,0.3687980558103705,0.29936180163334225,0.16969445142256734,0.19877028852414425,0.3371057412615627
NCI_H460,0.3228714035359903,0.41407293392209343,0.5618582181179035,0.36502748264620566,0.3208373024084745,0.384711890462062,0.17901458639785928,0.2822684992884228,0.42697358546489195,0.38807364841467795,0.3234810646207329,0.35068627490507853,0.32391316579915475,0.25578939264298406,0.32269984366859794,0.325896932001712,0.2916531059698919,0.3197438023425563,0.3497590039560442,0.31663554766065816,0.3108631275794328,0.3359798350504398,0.2273035791324033,0.2128996612571029,0.34424868942262854,0.15765507107764698,0.2815631737667066,0.31781333290836933,0.21256525769682566,0.3079724501758392,0.3377005855110399,0.3874915045696533,0.32623530390425237,0.9999999999999999,0.2577971406157705,0.3607118779985402,0.33273901124857175,0.2886305841279463,0.3700037292918863,0.3015785817794636,0.2421716584186695,0.2572695070230463,0.4155974481571344,0.38429943416421086,0.2871535628952149,0.23380138239737314,0.24472826812548953,0.24928649767547306,0.32995639372386265,0.36173664781234827,0.34587085713574717,0.30329343431493794,0.3027196986445775,0.09084454883982368,0.27843486359172764,0.3274280770873389,0.40502488594680897,0.2642116144831812,0.30188174608065144,0.2604192896072046
NCI_H522,0.2204994428290311,0.1893838052347684,0.3195978007379815,0.2990384261333753,0.2541187879522554,0.2885663553143285,0.2483444573406809,0.16244520222680692,0.2865706230363423,0.2998372058412425,0.23644412234945522,0.36695757918203886,0.2967632268921514,0.23451052819191487,0.28388875086303667,0.25415116763857437,0.2119767628914202,0.2010889142196901,0.3151965226759996,0.21853918924127347,0.26100200443918986,0.2689497531892956,0.2104918045195584,0.19426765809152258,0.30227061467123484,0.1815136768908956,0.25536199430058626,0.24658904741962762,0.22703967509554945,0.3486397079084882,0.2549101903193549,0.41248806993793985,0.2409315218533864,0.2577971406157705,0.9999999999999999,0.30047919122957023,0.27571133173070794,0.27614623226383395,0.33023544486112133,0.23965005613665857,0.20273294067361636,0.20057958461082104,0.275573830545058,0.31120358814099647,0.24567975694545563,0.21138831770106248,0.21596904055586574,0.27109538361367946,0.24478034871816523,0.33146883689469786,0.26142355164266073,0.2580130986801309,0.20080431994674808,0.13409998354357944,0.2517582792498938,0.2709750735254627,0.3058199076725936,0.2740952393006503,0.25068394278220485,0.23471885003884607
OVCAR_3,0.3403574058658545,0.36818548350782465,0.44001994428434055,0.40646745902363013,0.26459398070209894,0.4413774052634032,0.1682868489262369,0.33459844277306605,0.4730358014521129,0.4065639321505863,0.3792733190836205,0.41740937810571555,0.45163461077417266,0.25687266170866796,0.37580980767698147,0.3180748759643809,0.26496894979111685,0.38071906732876803,0.5103678051078024,0.3914349774898521,0.33186815213820087,0.3206503820972546,0.16821773127193118,0.18713764429265178,0.42624811610004665,0.2212324810707128,0.2482162472946704,0.2476605830147408,0.1926469256460378,0.35993175406912725,0.3218843204555597,0.4237467127057014,0.449467639000527,0.3607118779985402,0.30047919122957023,0.9999999999999999,0.6641330948038707,0.3105191106569759,0.45585093566736046,0.36158668238125435,0.23707006780181528,0.2961910444068864,0.3778063545218545,0.3051763215546991,0.2947736452455838,0.2348875870059003,0.21664137758117075,0.20197306189287223,0.49142987922380554,0.37818113793577,0.24353360147859904,0.2616754638058081,0.3081689935338643,0.1549709774609881,0.39285940874935865,0.43227257699589305,0.33329433586813284,0.24504850967006886,0.2527880218693235,0.3934918434800597
OVCAR_4,0.3588183940045456,0.3964080595210573,0.40732280728418335,0.426100768875012,0.27491838804153546,0.46165892740498093,0.16364268660876147,0.3322646733403837,0.4469857929423191,0.4471004050322659,0.3867443855446898,0.4018412567972558,0.4649723632564223,0.23250488728820362,0.3736538247088651,0.3598957809317551,0.2920597717533474,0.40468812565371437,0.5372018063707245,0.3727824048491051,0.2988144404694132,0.3032396910820844,0.18634673430077697,0.2019176185418663,0.3865453081094613,0.22537255985955673,0.2642627563743085,0.2552241350005058,0.16771365783373537,0.38233911662525844,0.3557881242943949,0.4055292626768755,0.4460025909381531,0.33273901124857175,0.27571133173070794,0.6641330948038707,0.9999999999999999,0.31785753550390594,0.4548003490503286,0.34728807580249377,0.22048406297779188,0.33705966968533185,0.38251328320666844,0.3171001149565972,0.32440700360166286,0.22607829255402734,0.20738603223732344,0.19761756421432797,0.5153674985839526,0.37051683648212397,0.23096247383415636,0.2726727991129292,0.2771609469832903,0.12711891957536448,0.38752329155561294,0.44893108391545344,0.3374564619945327,0.22260922730333088,0.24229139894680507,0.4387784153593435
OVCAR_5,0.32622325987762424,0.28404725188963276,0.42577430996806076,0.4179809756738858,0.25792178260806786,0.4028521809952271,0.1831813627698613,0.3073898454383923,0.3721722372455196,0.3794533438967328,0.33723260215171924,0.45119561122177,0.3614866209923506,0.31161997261189234,0.40431088811174765,0.4047618989638656,0.213990204458251,0.39348076442524105,0.3511183435900379,0.3693767903639229,0.21991232319218212,0.32924288874936813,0.20690071013939915,0.19776739114116848,0.30256064318693476,0.34245287423028103,0.2332690841443935,0.2756442997897116,0.16731451871437342,0.3709628298927804,0.39493202982213405,0.34177053630394116,0.3510909470712885,0.2886305841279463,0.27614623226383395,0.3105191106569759,0.31785753550390594,0.9999999999999999,0.35165571328572265,0.37147615070314377,0.24249983771982486,0.28546945309783756,0.2749045911713244,0.3705109380417553,0.23707672757265763,0.20846649968920428,0.207602745932167,0.1968734482054879,0.3563734253814841,0.3643887785290031,0.2263603047536763,0.2062969885546443,0.22873368494207114,0.22806005510158178,0.2892513941662338,0.37079687861843014,0.282138754901215,0.18925871391207427,0.23869126424366793,0.3547964788599468
OVCAR_8,0.43690309196764376,0.3845564246893748,0.42919051637090766,0.47980628451036456,0.3855920684330285,0.5193615652146414,0.1965133698468603,0.22817759274727567,0.564656301736469,0.4424500505150686,0.308159555870155,0.37156847711043506,0.39591288009633163,0.24160453103556923,0.5229114251245026,0.4768032928936037,0.4094686332575961,0.2902686511146326,0.42331365987627956,0.29011454061506314,0.32840920516549443,0.46022610015429344,0.2470257987893737,0.23902991652265815,0.3255109285136699,0.23578951784373636,0.32908330048367584,0.2968676278548078,0.18637350249231777,0.7600811558989001,0.41950410339213196,0.4939630970623392,0.33887223659097376,0.3700037292918863,0.33023544486112133,0.45585093566736046,0.4548003490503286,0.35165571328572265,0.9999999999999999,0.3959458262873512,0.2130777090982312,0.4061854656209096,0.49035444210792223,0.41376878943307815,0.4340440688610421,0.3127093225578339,0.2580489022132971,0.22499997553552953,0.46999967771315854,0.6062901067186327,0.2449817229180059,0.3316672384779311,0.2659500435595531,0.08004707639180086,0.2764027454052804,0.5024491468411804,0.36076513045327996,0.24818101717125385,0.2868704792878797,0.4836869150014015
