,MCF7,MDA_MB_231,HS578T,BT_549,T47D,SF_268,SF_295,SF_539,SNB_19,SNB_75,U251,COLO205,HCC_2998,HCT_116,HCT_15,HT29,KM12,SW_620,CCRF_CEM,HL_60,K_562,MOLT_4,RPMI_8226,SR,LOXIMVI,MALME_3M,M14,SK_MEL_2,SK_MEL_28,SK_MEL_5,UACC_257,UACC_62,MDA_MB_435,MDA_N,A549,EKVX,HOP_62,HOP_92,NCI_H226,NCI_H23,NCI_H322M,NCI_H460,NCI_H522,IGROV1,OVCAR_3,OVCAR_4,OVCAR_5,OVCAR_8,SK_OV_3,NCI_ADR_RES,PC_3,DU_145,786_0,A498,ACHN,CAKI_1,RXF_393,SN12C,TK_10,UO_31
MCF7,1.0,0.14713345930171645,0.1656492988609835,0.1946524417625261,0.5809209556528885,0.2932562249787048,0.2482384760156217,0.17323919457467557,0.16930333948853676,0.1738567667626158,0.23279434772979385,0.3987190411904799,0.4275107951285447,0.4427183718232763,0.5253978429066057,0.39948655149199647,0.42861235974543593,0.1386914729278121,0.2129540906596819,0.3081507590177241,0.36962792613060275,0.2424104917985968,0.2881834640351462,0.34293215165605134,0.24906266857845388,0.17012746314035238,0.197048920128662,0.1955023296795259,0.20259868492760563,0.2529035475806832,0.232419186200241,0.23019434077338757,0.24628327813568457,0.24872540442323837,0.4064105148605884,0.3294586385408816,0.2553497484767528,0.23226421623426902,0.2180540960300839,0.39945736716174557,0.39542983519476477,0.3443684127408693,0.30243372811211927,0.3855865098441396,0.42637485320543883,0.38672291906061157,0.3024788834291015,0.3256662559618228,0.2888920362692145,0.2535037869868399,0.2701535127145866,0.38764018716363885,0.24304965340931345,0.26533585169858215,0.29493954770183534,0.29032806035735154,0.15107128326512315,0.2967084112983324,0.3072547325740375,0.2176213688636321
MDA_MB_231,0.14713345930171645,1.0,0.18650959621080182,0.1581692100115933,0.1802657396373934,0.32128048145919025,0.27700101695156626,0.20363500738401324,0.13040158150070685,0.16276861345614974,0.26303248015782715,0.15025023158723066,0.13053867098916766,0.34187530429897267,0.1676167387878567,0.18072929250568032,0.243689373632562,0.5537215437337311,0.18850585529493463,0.30380752616689105,0.20906023376976018,0.17422834711165286,0.1632995265011425,0.1584631910740702,0.32813581031339695,0.12913007694465023,0.0708125526875924,0.13027037718516482,0.1149063039570391,0.06637972993588775,0.13377323285240766,0.16383687023642274,0.1562752879545813,0.1882410619569191,0.26595913398630583,0.21584528002143316,0.3031165091815365,0.325445389241425,0.4460505402062261,0.20288319137499283,0.20861241989441287,0.1574331925382793,0.18160052994623427,0.2739380045672966,0.22125988387970724,0.22550750451253382,0.3425135170516908,0.2356583164276042,0.3120578611910551,0.2946277669540905,0.2747350477093468,0.2129662656061833,0.24402866657899086,0.2187326038199448,0.3014041717011316,0.3021747774589833,0.25630921866612905,0.35408708452408627,0.28484166950197204,0.3011370461414355
HS578T,0.1656492988609835,0.18650959621080182,1.0,0.46738385423714396,0.1434618875505061,0.455462134064839,0.48172906392073706,0.6033901735391607,0.3558959377717385,0.541341204892043,0.3793114221118074,0.08892248474752784,0.12218535762071564,0.19854035619156846,0.19023323507695006,0.10639241492030521,0.14255606575988605,0.01040747103102796,0.06647779930302239,0.10963625223704215,0.15629422356880757,0.07295878996384397,0.1416114328335895,0.13847187809566147,0.40043131296339857,0.23499064838407008,0.221275401031704,0.24831040017978728,0.23066521394299871,0.1901344868762665,0.18819138899679294,0.29243096977557687,0.29304019117919483,0.312137471361089,0.28767590119052505,0.3186460633340798,0.40408637028959565,0.3913479048573835,0.4139910533328675,0.31521325185498666,0.16392252672544055,0.29178977362418274,0.21212217046346232,0.252357762994411,0.2650740025538291,0.2922477649517428,0.2140840144007093,0.4095561747163406,0.32378696197291296,0.30753314325999875,0.32274655574184424,0.3071380075088807,0.38345737914088257,0.359106874854017,0.34445383827872994,0.4234079341004497,0.46687430529143675,0.3899889485216223,0.3219408151447199,0.381502968057106
BT_549,0.1946524417625261,0.1581692100115933,0.46738385423714396,1.0,0.17958474176214873,0.3339073112181686,0.4390824106148589,0.44530949040491424,0.37053585736375877,0.4029887698359967,0.3362613418675971,0.12556475859603716,0.22192882583731327,0.2477582341488102,0.24682552040256528,0.217515709535059,0.20045796372328112,0.018867071932701984,0.11588062122066872,0.1484951640140138,0.17472502077595503,0.09610032986218747,0.2075063977721266,0.19025004516580218,0.3921591037481366,0.22867170987012614,0.2566618509106298,0.22451701208327185,0.23907621136762275,0.21080397428552328,0.210837163150909,0.28002469726512275,0.2891735680875063,0.3446975716098282,0.2816404539890906,0.33493268398885595,0.3656971052285946,0.38805178673746904,0.4204762277923019,0.3963681458522826,0.20733476443127935,0.32099258936277025,0.2543433761422404,0.25726161765431915,0.264897595360762,0.2752024911542276,0.25776523234863774,0.38578545384766144,0.3033943105517411,0.34556080760075586,0.32971573035892515,0.35277559923435015,0.31692861560004365,0.35269276371484376,0.3493516205042431,0.4126465408038082,0.41077586132286775,0.39589491304950614,0.34428292734918625,0.32597462069526634
T47D,0.5809209556528885,0.1802657396373934,0.1434618875505061,0.17958474176214873,1.0,0.2333150438630775,0.22639783222046223,0.16739600823549544,0.16801382015267047,0.15784104966234408,0.22878454484480065,0.3367288950532869,0.3585297122862043,0.3710806874165217,0.41601873969706765,0.3759153889546574,0.38578884846939515,0.16197340359823126,0.17396405165680157,0.23702357379063016,0.26731707288930634,0.15858632971882208,0.24167160012866656,0.26093821904868836,0.20345445493393882,0.1666413854863838,0.134562814265549,0.15963880126675495,0.15698525239752642,0.1766983105968259,0.20053108514301315,0.20541816391638895,0.20675503969961367,0.22549145853456082,0.3415865381097612,0.324609166748595,0.22995697416646038,0.2316208666092356,0.23556127696907408,0.3454522761569469,0.40951649060473055,0.2785203961445813,0.25195168283099384,0.3425755376229794,0.39301153659085447,0.3877535940831584,0.2892827808486976,0.276533502464764,0.28236011219198914,0.27585979117365095,0.26652364432600223,0.3830296949932918,0.2065753103076055,0.24696714034512895,0.28870452581760225,0.2772626396421812,0.1601599319100367,0.2782343372630282,0.2868433712487423,0.22547008492592463
SF_268,0.2932562249787048,0.32128048145919025,0.455462134064839,0.3339073112181686,0.2333150438630775,1.0,0.4698991132779657,0.41345458175264044,0.2680258481430396,0.3811686877655947,0.4055950065434119,0.23349366730348592,0.19186487191522011,0.3163110093743419,0.2808036491987808,0.24065412143715864,0.2838389548576548,0.14982523392839348,0.20207788215530792,0.2902623563588878,0.31148209474495253,0.27780527980740105,0.18836678233441034,0.29457077012264093,0.4789698679472603,0.20773131797634387,0.23398337824824827,0.26454709783509206,0.25199316368580377,0.21728749331802294,0.2532492874707654,0.2840030032300856,0.30522742381211726,0.3080280314790665,0.4489052181120951,0.33207629808892486,0.38260766437919164,0.34367952420975906,0.44955034746581396,0.3542354086474369,0.2602168267137564,0.41575661487318877,0.2756883101962752,0.3867634249700916,0.37786230942502114,0.38262751599003003,0.27485114543919903,0.490468101339619,0.4049437201269392,0.33935196860570754,0.30476498124612456,0.40869528411671013,0.3988770176536776,0.3784082612773137,0.390213402559108,0.43861951711566377,0.3115780106809138,0.5102793586233572,0.3549233256280902,0.36766590889699907
SF_295,0.2482384760156217,0.27700101695156626,0.48172906392073706,0.4390824106148589,0.22639783222046223,0.4698991132779657,1.0,0.5519983746880239,0.4606314079362896,0.5479850453284303,0.565771924949136,0.1829748521763634,0.25430616675643564,0.3384607193267119,0.30482427136401397,0.23295574952727743,0.24985858721487214,0.11774721757110657,0.200987624780048,0.23988796043918142,0.25825885177540236,0.1890735134176425,0.22079036286387538,0.2284247212850377,0.48465874208692133,0.2979623651315249,0.3307896010248977,0.3503458606723902,0.31104142961529396,0.2828742784760359,0.281548883052305,0.40368692659735433,0.40364646201288007,0.3957021345302784,0.39333100158255646,0.3867413471466374,0.5362205273953429,0.4894564860965522,0.459226695236062,0.4362921904990464,0.2772940384323905,0.38447005274367235,0.3113855887596531,0.3078578645136714,0.30537513040174785,0.3173499486084919,0.3704473528872155,0.41392257716312836,0.3934697599553069,0.3877191077107616,0.4401292082145833,0.3738579543851838,0.462841610184268,0.4320676324855521,0.42757491665578934,0.49846944290629785,0.45372220365010524,0.49023367271205526,0.39734156297267237,0.443643488777783
SF_539,0.17323919457467557,0.20363500738401324,0.6033901735391607,0.44530949040491424,0.16739600823549544,0.41345458175264044,0.5519983746880239,1.0,0.35336705196732104,0.5628185525709131,0.477106741626766,0.10617017241584076,0.17265834147924125,0.23574375131751574,0.23806906826421464,0.15348443230024839,0.15499396089167822,0.039292442367029945,0.1093273330241134,0.13765396584110462,0.18093454763270717,0.0832378292760022,0.13428352223887646,0.16238964855977672,0.4339415607671579,0.27114095112381337,0.24112968911231897,0.29217905064722666,0.2575853157837817,0.19287895129057803,0.21983245494212117,0.32636422060734366,0.33052077014690223,0.28634400569037294,0.28884482741225054,0.3558275309615208,0.49425531164881703,0.48331369798361784,0.4074765428543324,0.38217033547085794,0.20780667184620433,0.28738084794580293,0.24584639709920902,0.284188042195958,0.2949445570364316,0.32461653633311377,0.23705113539148787,0.4341984456027485,0.35504696387252804,0.3612675139116765,0.3455145580158944,0.3384750323302524,0.4468674732410502,0.40951909191211916,0.3808497200473729,0.47224652634238024,0.5774033005066499,0.4415137284940324,0.3903698876348763,0.4479790456832404
SNB_19,0.16930333948853676,0.13040158150070685,0.3558959377717385,0.37053585736375877,0.16801382015267047,0.2680258481430396,0.4606314079362896,0.35336705196732104,1.0,0.45536952970879846,0.5684520649406544,0.10098243755295638,0.17620790571023676,0.23137933865964372,0.22154022103755527,0.132440551090989,0.17255223456192043,0.049096950221434565,0.0783941654548092,0.11123218962873499,0.12910712477964587,0.07051572865670153,0.1830890040518261,0.1207914034909307,0.27502899162291866,0.2586706102237814,0.24242608645650593,0.28260457728666327,0.2568946422293466,0.2479246261801598,0.2190038299874611,0.32275100310118604,0.3020756437547209,0.3598630648960813,0.26155833879009477,0.27395931922045186,0.33110887821914153,0.31973594208393247,0.29535098269371957,0.30517649149636233,0.22143201627253534,0.34613202499344337,0.26145979590559737,0.23229361329338477,0.2435987705810509,0.2310417286723842,0.22615106501824894,0.24514226007331547,0.25713137561081806,0.24097844997905776,0.28547934312452145,0.25244748273465306,0.2661952324972379,0.26998131551798094,0.2777703219671424,0.32454248019425663,0.2957930054879388,0.2772295773217999,0.2720610525596165,0.2825636631954023
SNB_75,0.1738567667626158,0.16276861345614974,0.541341204892043,0.4029887698359967,0.15784104966234408,0.3811686877655947,0.5479850453284303,0.5628185525709131,0.45536952970879846,1.0,0.49873635176700176,0.10546945767271887,0.14450364675824195,0.21064038192262685,0.21055641285154064,0.13307810297829153,0.1457440617974976,0.03669584430164119,0.10366125319090669,0.12704341996657792,0.15521383398282956,0.11215177170452412,0.13355068805580078,0.14869626623250193,0.3438755537555795,0.3362348183618539,0.3137492532553378,0.3466170507912299,0.309609325077665,0.26405956505424794,0.262037303052952,0.4023262734683983,0.3776391614110108,0.35991213439844943,0.25922975870035264,0.2993192983288054,0.3727877016918278,0.3817731995421219,0.35332732528151206,0.3420969552349779,0.17136375910926188,0.30353315189139346,0.25818343596113974,0.2482262802583574,0.26186670278937113,0.272913908551545,0.20630877876349146,0.33184308700258885,0.30067738455568677,0.2835173544005328,0.2963191320996256,0.2714020633727959,0.33100428301789026,0.3324805612963499,0.3101691729577902,0.380539735605876,0.42007930987227066,0.35186946069716735,0.28716825095037407,0.33384127376600264
U251,0.23279434772979385,0.26303248015782715,0.3793114221118074,0.3362613418675971,0.22878454484480065,0.4055950065434119,0.565771924949136,0.477106741626766,0.5684520649406544,0.49873635176700176,1.0,0.17838851152445073,0.2266856023023726,0.33986937849690185,0.30009544331979005,0.22761801021703248,0.23781490780247888,0.13334089303995006,0.1594348658335269,0.17730410174429773,0.24130894469428482,0.16162724438983905,0.16079043197892623,0.1811461934046929,0.4120816839289608,0.2732957726651853,0.26614939889957606,0.3298063175198655,0.2702359984954609,0.24044240609844408,0.24577415732095725,0.3617958392217882,0.35805053958933936,0.3181301913600843,0.36718097377826314,0.3706907172229696,0.4669115742831164,0.4204878156458773,0.4175279969271854,0.3902108116300616,0.2995930809145992,0.4052413749574845,0.3059851699884774,0.3417279321213555,0.3335290149642753,0.3376710980347661,0.2819046201160628,0.3609726115379664,0.38626306029839325,0.34360134300732575,0.4202064179617124,0.3427743227020141,0.4199979499197664,0.37359495318530284,0.40900684048758634,0.45824367804418004,0.4427102594588956,0.4141482872569578,0.3886182769724695,0.42901173215870864
COLO205,0.3987190411904799,0.15025023158723066,0.08892248474752784,0.12556475859603716,0.3367288950532869,0.23349366730348592,0.1829748521763634,0.10617017241584076,0.10098243755295638,0.10546945767271887,0.17838851152445073,1.0,0.5656717488621479,0.3807139257077888,0.45151312073533484,0.5955007966986214,0.6124669823121771,0.19916088760757672,0.19428495921023742,0.2909871642870672,0.2916232286941947,0.225362955599488,0.25894395265896036,0.31994747811192853,0.2274575019646186,0.12224093252324769,0.15516575096504454,0.14174088270741875,0.15361082260973763,0.1762199760389324,0.173497191635195,0.15653599004632207,0.18214041661589692,0.21404853104441474,0.3932199828208705,0.2643536903572428,0.198649968136071,0.20919005070054358,0.1952126347885486,0.24937367001985328,0.3835982313204272,0.2823294413369292,0.1625864860090121,0.3235442154478832,0.3347262607581348,0.3323958177189497,0.3072252253437053,0.228309349572908,0.2925583967962329,0.17176931735931028,0.24428053414451173,0.3118028801105797,0.19887421368160135,0.24775362091239245,0.24801589310958966,0.2432602585825689,0.11158762543248563,0.23156848271240688,0.25242878387638085,0.1793536132370625
HCC_2998,0.4275107951285447,0.13053867098916766,0.12218535762071564,0.22192882583731327,0.3585297122862043,0.19186487191522011,0.25430616675643564,0.17265834147924125,0.17620790571023676,0.14450364675824195,0.2266856023023726,0.5656717488621479,1.0,0.45950197048556746,0.6328840755836909,0.6221178287361202,0.5808176582488431,0.14702352785767386,0.16575011098169984,0.2313477012918767,0.3022618121411588,0.13341231120841884,0.25582049423519065,0.29693664368207423,0.2583272180273429,0.1751601786878893,0.1630338031200484,0.19088414860887187,0.1840320439064182,0.19636865396836073,0.19155563046955776,0.20383270858975316,0.2309897706013609,0.22479502052668104,0.403459934840489,0.36484518807277305,0.3144216351200693,0.3075790278369351,0.23208727942763635,0.35694651399108573,0.47973048282542713,0.32352206632354813,0.2366720491317969,0.38205560731987026,0.3795939184673072,0.38698231724839977,0.33684547141323457,0.30834326141350393,0.33691024479162507,0.27622596948172023,0.35112049341797374,0.38402672956137235,0.25980540882424447,0.30659420971799084,0.29867554276894875,0.30968271021796706,0.20933579117410245,0.2760845250075645,0.3576053624865195,0.2706548034576725
HCT_116,0.4427183718232763,0.34187530429897267,0.19854035619156846,0.2477582341488102,0.3710806874165217,0.3163110093743419,0.3384607193267119,0.23574375131751574,0.23137933865964372,0.21064038192262685,0.33986937849690185,0.3807139257077888,0.45950197048556746,1.0,0.5299803015775939,0.47329364784039113,0.49461344457122175,0.29131351558955904,0.2489296854978727,0.3430184717412445,0.3738431069554699,0.2327571522588852,0.2891194367592272,0.30858207897390016,0.3863322190688497,0.22090515510076064,0.2287416020907867,0.24587591815843618,0.23024753037533702,0.2684639289562604,0.2506791385268666,0.2856868348979826,0.2845598616596006,0.294921233097955,0.43543325069269284,0.37168559536044626,0.3728034501960575,0.37398260586418747,0.3601715194552448,0.4312379562002879,0.42437628491615836,0.3506430266123542,0.36719167861790253,0.46174411989197944,0.41770594666021504,0.4021468683076555,0.45093942403266146,0.37167977958683535,0.3639771224061004,0.3958348527544446,0.39929978414068495,0.43522317570315755,0.3181529257197409,0.3052226379833382,0.4152132142534722,0.38676071219159763,0.23887951621005982,0.39299802821926594,0.390809564900132,0.32406411489185266
HCT_15,0.5253978429066057,0.1676167387878567,0.19023323507695006,0.24682552040256528,0.41601873969706765,0.2808036491987808,0.30482427136401397,0.23806906826421464,0.22154022103755527,0.21055641285154064,0.30009544331979005,0.45151312073533484,0.6328840755836909,0.5299803015775939,1.0,0.5431110122162865,0.5272788673667705,0.13354906350465418,0.20360332274718979,0.2489732827247772,0.3427288354430366,0.18677358751794665,0.26979488222624376,0.31677270826943055,0.2945309292787131,0.2138237052759882,0.21977855022995757,0.25576422970173834,0.23011847724485418,0.2423570452886607,0.228436158419612,0.25299733804732333,0.2927524655230607,0.2528994954275012,0.3992089135645264,0.4007954444203567,0.4163138839212534,0.3613786400225633,0.24712727781394667,0.4501395769966989,0.5076187159405972,0.32383332715197183,0.2969466191344599,0.46278254766266863,0.45186759962971706,0.46511787696233003,0.36108156183422807,0.3960115918700447,0.3909217083067597,0.32555713470040243,0.36863058052779846,0.4634761844953162,0.32592099999563323,0.3011549726987522,0.3544698650300859,0.36945394660657255,0.24670165700820618,0.357494482738776,0.3958353037059879,0.34610922063291466
HT29,0.39948655149199647,0.18072929250568032,0.10639241492030521,0.217515709535059,0.3759153889546574,0.24065412143715864,0.23295574952727743,0.15348443230024839,0.132440551090989,0.13307810297829153,0.22761801021703248,0.5955007966986214,0.6221178287361202,0.47329364784039113,0.5431110122162865,1.0,0.5650135398465461,0.16879960015050716,0.1978275613939225,0.263120068338451,0.29040965886968745,0.1990853085898397,0.2554129357661424,0.3314208169099228,0.2856409469888251,0.1288479714465201,0.16273214745978054,0.15597338803523947,0.14940695537461907,0.15482198765216454,0.16862575497969728,0.17443328404405084,0.19736448144896718,0.2203275858160441,0.3925971112977054,0.3251617841981546,0.2844946614834131,0.2904404150108431,0.28547536144940305,0.2986898023430467,0.4553469825726281,0.31995883708459233,0.20125940543566062,0.3655666262740935,0.3808954236385044,0.4048458932913486,0.39317687076081137,0.2904731274114479,0.3381976593925287,0.2703354037789109,0.3095113058341012,0.38026447381337186,0.25199965859686807,0.30733783100728757,0.33889856199827223,0.3221534427032146,0.2029527739202816,0.2896812002434936,0.3346693516067744,0.25518921006045486
KM12,0.42861235974543593,0.243689373632562,0.14255606575988605,0.20045796372328112,0.38578884846939515,0.2838389548576548,0.24985858721487214,0.15499396089167822,0.17255223456192043,0.1457440617974976,0.23781490780247888,0.6124669823121771,0.5808176582488431,0.49461344457122175,0.5272788673667705,0.5650135398465461,1.0,0.2720792242362678,0.20845960628446808,0.29940077926615233,0.32254417298897625,0.2114594309791344,0.28767715207908123,0.31326186760685065,0.28390422299496426,0.15579426022444404,0.15948893970428873,0.18446325154610116,0.1807066486069306,0.18565505985639946,0.20841146445410524,0.21888692937967785,0.23147378162671456,0.25772509668432014,0.4255661368498292,0.3293592349198557,0.2913320991180946,0.27863720574623035,0.26233014770927915,0.3118628751939618,0.4447091826584462,0.3168102727743079,0.21869763468642395,0.4145794078235315,0.3915656191731342,0.37294369889983486,0.36920507094329386,0.2902900419197359,0.358148629495133,0.25844804852029374,0.3746955941997306,0.38219273204145915,0.25888868202315946,0.2712666091295675,0.2982150600251467,0.3074122425799351,0.16745684733281258,0.28780992001311917,0.3283127569312871,0.24980522564149438
SW_620,0.1386914729278121,0.5537215437337311,0.01040747103102796,0.018867071932701984,0.16197340359823126,0.14982523392839348,0.11774721757110657,0.039292442367029945,0.049096950221434565,0.03669584430164119,0.13334089303995006,0.19916088760757672,0.14702352785767386,0.29131351558955904,0.13354906350465418,0.16879960015050716,0.2720792242362678,1.0,0.17710170841147316,0.3011096651557555,0.1936960091380397,0.1746772583120016,0.15058185738817548,0.1367717265293234,0.1636265873749026,0.045161561387903115,0.0,0.026488024522744014,0.03482984027733821,0.017251033424284523,0.08652785014789949,0.08532788315927886,0.07191278128737949,0.11584699102245061,0.18002039582258406,0.10592419879795167,0.08588940175342413,0.0931136381429476,0.2121959704734317,0.09687333060339515,0.15053170459694626,0.09065634320479721,0.13418948665365332,0.211901547930398,0.15503241507181725,0.12725523709041714,0.22809347830783716,0.08000160929183286,0.16822229318883558,0.16155622969888778,0.1379405606175383,0.09746998359045683,0.09043181875120998,0.08240371967396753,0.1532271253639354,0.14498125562349878,0.0670378009391896,0.15709124173571115,0.13447255591090906,0.12114857573363019
CCRF_CEM,0.2129540906596819,0.18850585529493463,0.06647779930302239,0.11588062122066872,0.17396405165680157,0.20207788215530792,0.200987624780048,0.1093273330241134,0.0783941654548092,0.10366125319090669,0.1594348658335269,0.19428495921023742,0.16575011098169984,0.2489296854978727,0.20360332274718979,0.1978275613939225,0.20845960628446808,0.17710170841147316,1.0,0.4824571242149596,0.35632144902744506,0.6737677506824566,0.3407602190221614,0.3622293727373926,0.22826276919246052,0.12235681523052738,0.12437501334319062,0.12075512247989711,0.1364036582861669,0.1252235486166629,0.20757302811864126,0.17011549824755107,0.1810837663952935,0.17167868001634917,0.191767703230248,0.12266407321475387,0.15464233614015427,0.15880682592943068,0.1635200756687461,0.20915601880087448,0.12196731276141676,0.17915616532893203,0.2485093167884052,0.21634272813605476,0.168614938615596,0.16386625842220998,0.1827906610218893,0.19672197795179974,0.15098994658085424,0.2617403291568598,0.1249033415770377,0.15517950008769982,0.13455526144081847,0.10471037849980686,0.17670490297051616,0.17037440673802723,0.10242483521058837,0.22660953767185715,0.16775391587635474,0.12128523696404242
